No,Name,Type,Brand Name,Price,Currency,Link
1,BOSS Bottled ,Eau de Toilette pour homme,Hugo Boss ,24,EUR,https://www.notino.fr/hugo-boss/boss-no6-bottled-eau-de-toilette-pour-homme/
2,HUGO Man ,Eau de Toilette pour homme,Hugo Boss ,23,EUR,https://www.notino.fr/hugo-boss/hugo-eau-de-toilette-pour-homme/
3,Intense Oud ,Eau de Parfum mixte,Gucci ,81,EUR,https://www.notino.fr/gucci/intense-oud-eau-de-parfum-mixte/
4,1881 Pour Homme ,Eau de Toilette pour homme,Cerruti ,26.4,EUR,https://www.notino.fr/cerruti/1881-pour-homme-eau-de-toilette-pour-homme/
5,J’OSE ,Eau de Parfum pour homme,Eisenberg ,129,EUR,https://www.notino.fr/eisenberg/jose-homme-eau-de-parfum-pour-homme/
6,Fierce ,eau de cologne pour homme,Abercrombie & Fitch ,93,EUR,https://www.notino.fr/abercrombie-fitch/fierce-eau-de-cologne-pour-homme/
7,BOSS Bottled Intense ,Eau de Parfum pour homme,Hugo Boss ,39.9,EUR,https://www.notino.fr/hugo-boss/boss-bottled-intense-eau-de-parfum-pour-homme/
8,1 Million ,Eau de Toilette pour homme,Paco Rabanne ,62.2,EUR,https://www.notino.fr/paco-rabanne/1-million-eau-de-toilette-pour-homme/
9,Guilty Pour Homme ,Eau de Parfum pour homme,Gucci ,81.33,EUR,https://www.notino.fr/gucci/guilty-pour-homme-eau-de-parfum-pour-homme/
10,Le Male ,Eau de Toilette pour homme,Jean Paul Gaultier ,46,EUR,https://www.notino.fr/jean-paul-gaultier/le-male-eau-de-toilette-pour-homme/
11,Legend ,Eau de Toilette pour homme,Montblanc ,24.15,EUR,https://www.notino.fr/mont-blanc/legend-eau-de-toilette-pour-homme/
12,Acqua di Giò Pour Homme ,Eau de Toilette pour homme,Armani ,40.45,EUR,https://www.notino.fr/armani/acqua-di-gio-pour-homme-eau-de-toilette-pour-homme/
13,BOSS The Scent ,Eau de Toilette pour homme,Hugo Boss ,27.75,EUR,https://www.notino.fr/hugo-boss/boss-the-scent-eau-de-toilette-pour-homme/
14,Encre Noire ,Eau de Toilette pour homme,Lalique ,94,EUR,https://www.notino.fr/lalique/encre-noire-for-men-eau-de-toilette-pour-homme/
15,La Nuit de L'Homme ,Eau de Toilette pour homme,Yves Saint Laurent ,78,EUR,https://www.notino.fr/yves-saint-laurent/la-nuit-de-lhomme-eau-de-toilette-pour-homme/
16,Invictus ,Eau de Toilette pour homme,Paco Rabanne ,54.9,EUR,https://www.notino.fr/paco-rabanne/invictus-eau-de-toilette-pour-homme/
