No,Name,Type,Brand Name,Price,Currency,Link
1,BLEU DE CHANEL Eau de Toilette,Size: 1.7 oz Eau de Toilette Spray,CHANEL,null,USD,https://www.sephora.com/product/bleu-de-chanel-P270302?icid2=products grid:p270302
2,BLEU DE CHANEL Eau de Parfum,Size: 1.7 oz Eau de Parfum Spray,CHANEL,null,USD,https://www.sephora.com/product/bleu-de-chanel-eau-de-parfum-P394949?icid2=products grid:p394949
3,Sauvage Eau de Toilette,Size: 2 oz/ 60 mL Eau de Toilette Spray,Dior,null,USD,https://www.sephora.com/product/sauvage-P400057?icid2=products grid:p400057
4,’REPLICA’ By the Fireplace,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,null,USD,https://www.sephora.com/product/replica-by-fireplace-P404758?icid2=products grid:p404758
