No,Name,Type,Brand Name,Price,Currency,Link
1,"Love, Don't Be Shy",Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Kilian,240.00,USD,https://www.sephora.com/product/love-don-t-be-shy-P429621?icid2=products grid:p429621
2,Black Opium Eau de Parfum,Size: 3 oz/ 90 mL Eau de Parfum Spray,Yves Saint Laurent,128.00,USD,https://www.sephora.com/product/black-opium-P394534?icid2=products grid:p394534
3,Flowerbomb,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,Viktor&Rolf,165.00,USD,https://www.sephora.com/product/flowerbomb-P255506?icid2=products grid:p255506
4,CHANCE EAU FRAÎCHE Eau de Toilette,Size: 1.2 oz Eau de Toilette Spray,CHANEL,62.00,USD,https://www.sephora.com/product/chance-P257900?skuId=1218262&icid2=products grid:p257900
5,GABRIELLE CHANEL ESSENCE Eau de Parfum,Size: 1.2 oz/ 35 mL Eau de Parfum Spray,CHANEL,82.00,USD,https://www.sephora.com/product/gabrielle-chanel-essence-eau-de-parfum-P449555?skuId=2319630&icid2=products grid:p449555
6,Donna Born In Roma Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Valentino,100.00,USD,https://www.sephora.com/product/born-in-roma-P449116?icid2=products grid:p449116
7,Not A Perfume,Size: 3.3 oz/ 100 mL Eau de Parfum Spray,Juliette Has a Gun,135.00,USD,https://www.sephora.com/product/not-perfume-P395313?icid2=products grid:p395313
8,’REPLICA’ By the Fireplace,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/replica-by-fireplace-P404758?icid2=products grid:p404758
9,Tobacco Vanille,Size: 1.0 oz/ 30 mL Eau de Parfum Spray,TOM FORD,155.00,USD,https://www.sephora.com/product/tobacco-vanille-P393151?skuId=2038867&icid2=products grid:p393151
10,Libre Eau De Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Yves Saint Laurent,106.00,USD,https://www.sephora.com/product/libre-eau-de-parfum-P448102?icid2=products grid:p448102
11,Bright Crystal,Size: 3 oz/ 90 mL Eau de Toilette Spray,Versace,99.00,USD,https://www.sephora.com/product/bright-crystal-P163103?icid2=products grid:p163103
12,Oud Wood ,Size: 0.3 oz/ 10 mL Spray Eau de Parfum,TOM FORD,65.00,USD,https://www.sephora.com/product/oud-wood-P393167?skuId=2101350&icid2=products grid:p393167
13,Lost Cherry,Size: 1.7oz/ 50mL Eau de Parfum Spray,TOM FORD,350.00,USD,https://www.sephora.com/product/lost-cherry-P436489?icid2=products grid:p436489
