No,Name,Type,Brand Name,Price,Currency,Link
33,Perfect Eau de Parfum,Size: 3.3 oz/ 100 mL Eau De Parfum Spray,Marc Jacobs Fragrances,128,USD,https://www.sephora.com/product/marc-jacobs-fragrances-perfect-eau-de-parfum-P460871?icid2=products grid:p460871
34,La Vie Est Belle,Size: 1.7 oz/ 50 mL L'Eau de Parfum  Spray,Lanc�me,99,USD,https://www.sephora.com/product/la-vie-est-belle-P375939?icid2=products grid:p375939
35,Not A Perfume Travel Spray,Not available,Juliette Has a Gun,28,USD,https://www.sephora.com/product/not-perfume-travel-spray-P408989?icid2=products grid:p408989
36,Good Girl Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Carolina Herrera,98,USD,https://www.sephora.com/product/good-girl-P420533?icid2=products grid:p420533
37,Alien Eau de Parfum,Size: 2 oz/ 60 mL Eau de Parfum Spray,Mugler,120,USD,https://www.sephora.com/product/alien-P196516?icid2=products grid:p196516
38,No.04 Bois de Balincourt Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Maison Louis Marie,85,USD,https://www.sephora.com/product/n0-04-bois-de-balincourt-eau-de-parfum-P431160?icid2=products grid:p431160
39,Peony & Blush Suede Cologne,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,142,USD,https://www.sephora.com/product/peony-blush-suede-cologne-P417181?icid2=products grid:p417181
40,Vanilla Woods Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray - Vanilla Woods Eau de Parfum,The 7 Virtues,79,USD,https://www.sephora.com/product/vanilla-woods-eau-de-parfum-P428713?icid2=products grid:p428713
41,KAYALI VANILLA | 28,Size: 3.4 oz/100 mL Eau de Parfum Spray,HUDA BEAUTY,118,USD,https://www.sephora.com/product/kayali-vanilla-P439406?icid2=products grid:p439406
42,`REPLICA` Lazy Sunday Morning,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135,USD,https://www.sephora.com/product/replica-lazy-sunday-morning-P385354?icid2=products grid:p385354
43,CANDY Eau de Parfum,Size: 2.7 oz/ 80 mL Eau de Parfum Spray,Prada,126,USD,https://www.sephora.com/product/candy-P376127?icid2=products grid:p376127
44,Nectarine Blossom & Honey Cologne,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,142,USD,https://www.sephora.com/product/nectarine-blossom-honey-cologne-P417182?icid2=products grid:p417182
45,Soleil Blanc,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250,USD,https://www.sephora.com/product/soleil-blanc-P406526?icid2=products grid:p406526
46,Miss Dior Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Dior,105,USD,https://www.sephora.com/product/the-new-miss-dior-eau-de-parfum-P421729?icid2=products grid:p421729
47,Acqua di Gioia,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Armani Beauty,81,USD,https://www.sephora.com/product/acqua-di-gioia-P271538?icid2=products grid:p271538
48,Hypnotic Poison,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Dior,85,USD,https://www.sephora.com/product/hypnotic-poison-P4484?skuId=260885&icid2=products grid:p4484
49,Good Girl Gone Bad by KILIAN,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Kilian,240,USD,https://www.sephora.com/product/good-girl-gone-bad-P429631?icid2=products grid:p429631
50,Daisy Love,Size: 3.4 oz/ 100 mL Eau de Toilette  Spray,Marc Jacobs Fragrances,108,USD,https://www.sephora.com/product/daisy-love-P431151?icid2=products grid:p431151
51,Sì Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Armani Beauty,98,USD,https://www.sephora.com/product/si-eau-de-parfum-P388029?icid2=products grid:p388029
52,Voce Viva Eau de Parfum,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,Valentino,130,USD,https://www.sephora.com/product/valentino-voce-viva-eau-de-parfum-P462409?icid2=products grid:p462409
53,Sinner Eau de Parfum,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,KVD Vegan Beauty,null,USD,https://www.sephora.com/product/sinner-eau-de-parfum-P420219?skuId=1957224&icid2=products grid:p420219
54,Soleil Neige,Size: 1 oz/ 30 mL Eau de Parfum Spray,TOM FORD,155,USD,https://www.sephora.com/product/soleil-neige-eau-de-parfum-P450194?icid2=products grid:p450194
55,Rose Prick,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,TOM FORD,450,USD,https://www.sephora.com/product/tom-ford-rose-prick-eau-de-parfum-P455598?skuId=2369320&icid2=products grid:p455598
56,Neroli Portofino,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250,USD,https://www.sephora.com/product/neroli-portofino-P378133?icid2=products grid:p378133
57,Id�le Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Lanc�me,99,USD,https://www.sephora.com/product/idole-P448111?icid2=products grid:p448111
58,Florence,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOCCA,76,USD,https://www.sephora.com/product/florence-P38221?icid2=products grid:p38221
59,Indigo Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,NEST New York,76,USD,https://www.sephora.com/product/indigo-P385317?icid2=products grid:p385317
60,Tuscan Leather,Size: 0.33 oz/ 10 mL Eau de Parfum Spray,TOM FORD,65,USD,https://www.sephora.com/product/tuscan-leather-P393153?skuId=2175735&icid2=products grid:p393153
61,Flowerbomb Travel Spray,Size: 0.33oz/10mL Eau de Parfum Travel Spray,Viktor&Rolf,32,USD,https://www.sephora.com/product/null-P446119?icid2=products grid:p446119
62,Beach Fragrance,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Bobbi Brown,80,USD,https://www.sephora.com/product/beach-fragrance-P270559?icid2=products grid:p270559
63,Dylan Blue Pour Femme,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Versace,92,USD,https://www.sephora.com/product/dylan-blue-pour-femme-P429981?icid2=products grid:p429981
64,Flowerbomb Mini,Not available,Viktor&Rolf,55,USD,https://www.sephora.com/product/flowerbomb-mini-P426305?icid2=products grid:p426305
65,Vanille Insensée Cologne Absolue Pure Perfume ,Size: 3.3 oz/ 100 mL Cologne Absolue Pure Perfume  Spray,Atelier Cologne,142,USD,https://www.sephora.com/product/vanille-insensee-cologne-absolue-P375819?icid2=products grid:p375819
66,Mon Guerlain Eau de Parfum,Size: 3.3 oz/ 100 mL Eau de Parfum Spray,Guerlain,135,USD,https://www.sephora.com/product/mon-guerlain-P416938?icid2=products grid:p416938
67,The Only One Eau de Parfum,Size: 3.3 oz/ 100 mL Eau de Parfum Spray,DOLCE&GABBANA,122,USD,https://www.sephora.com/product/the-only-one-eau-de-parfum-P437947?skuId=2155273&icid2=products grid:p437947
68,Black Orchid Parfum,Size: 0.33 oz/ 10 mL Parfum Spray,TOM FORD,65,USD,https://www.sephora.com/product/tom-ford-black-orchid-parfum-P460873?skuId=2369304&icid2=products grid:p460873
69,Sì Passione Eau de Parfum,Size: 1.7 oz/ 50 mL Spray Eau de Parfum,Armani Beauty,98,USD,https://www.sephora.com/product/si-passione-eau-de-parfum-P430871?icid2=products grid:p430871
70,Signature Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Tory Burch,100,USD,https://www.sephora.com/product/tory-burch-P384967?icid2=products grid:p384967
71,REPLICA Under the Lemon Trees,Size: 0.34oz/10mL Eau de Toilette Travel Spray,Maison Margiela,30,USD,https://www.sephora.com/product/replica-under-lemon-trees-eau-de-toilette-P440634?skuId=2196947&icid2=products grid:p440634
72,Nomade Eau de Parfum,Size: 2.5 oz/ 75 mL Eau de Parfum Spray,Chlo�,132,USD,https://www.sephora.com/product/nomade-eau-de-parfum-P428451?icid2=products grid:p428451
73,Clémentine California Cologne Absolue Pure Perfume,Size: 3.3 oz/ 100 mL Cologne Absolue Pure Perfume Spray,Atelier Cologne,142,USD,https://www.sephora.com/product/clementine-california-P410197?icid2=products grid:p410197
74,Flora by Gucci Eau de Parfum,Size: 1.6oz/50mL Eau de Parfum Spray,Gucci,100,USD,https://www.sephora.com/product/flora-by-gucci-eau-de-parfum-P257520?icid2=products grid:p257520
75,Daisy Eau So Fresh,Size: 4.25 oz/ 125 mL Eau De Toilette Spray,Marc Jacobs Fragrances,118,USD,https://www.sephora.com/product/daisy-eau-so-fresh-P281424?icid2=products grid:p281424
76,Reserve - Radiant Nectar,Size: 3.4 oz/ 100 mL Eau De Parfum Spray,CLEAN RESERVE,98,USD,https://www.sephora.com/product/clean-reserve-radiant-nectar-P456552?skuId=2316099&icid2=products grid:p456552
77,Princess Eau de Parfum,Size: 3.4 oz/ 100 mL Eau de Parfum ,Kilian,135,USD,https://www.sephora.com/product/princess-eau-de-parfum-P433937?skuId=2094977&icid2=products grid:p433937
78,L'Interdit Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Givenchy,93,USD,https://www.sephora.com/product/givenchy-l-interdit-eau-de-parfum-P457669?icid2=products grid:p457669
79,Fucking Fabulous Travel Spray,Size: 0.33 oz/ 10 mL Eau de Parfum Spray,TOM FORD,75,USD,https://www.sephora.com/product/fucking-fabulous-travel-size-P448464?icid2=products grid:p448464
80,English Pear & Freesia Cologne,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,142,USD,https://www.sephora.com/product/english-pear-freesia-cologne-P417180?icid2=products grid:p417180
81,Crystal Noir,Size: 3 oz/ 90 mL Eau de Toilette Spray,Versace,99,USD,https://www.sephora.com/product/crystal-noir-P307000?icid2=products grid:p307000
82,BONBON,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Viktor&Rolf,98,USD,https://www.sephora.com/product/bonbon-P397836?icid2=products grid:p397836
83,Velvet Orchid,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,134,USD,https://www.sephora.com/product/velvet-orchid-P387250?icid2=products grid:p387250
84,`REPLICA` Sailing Day,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135,USD,https://www.sephora.com/product/replica-sailing-day-P427008?icid2=products grid:p427008
85,Daisy Love Eau So Sweet,Size: 0.33 oz/ 10 mL Eau de Toilette Spray,Marc Jacobs Fragrances,30,USD,https://www.sephora.com/product/daisy-eau-so-sweet-P442513?skuId=2198844&icid2=products grid:p442513
86,Light Blue Eau Intense,Size: 3.3 oz/ 100 mL Eau de Parfum Spray,DOLCE&GABBANA,110,USD,https://www.sephora.com/product/light-blue-pour-femme-eau-intense-P418849?icid2=products grid:p418849
87,Amber Musk,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,AERIN,135,USD,https://www.sephora.com/product/amber-musk-P388770?icid2=products grid:p388770
88,LIBRE Eau de Parfum Intense,Size: 3oz/ 90 mL Eau de Parfum Intense Spray,Yves Saint Laurent,132,USD,https://www.sephora.com/product/yves-saint-laurent-libre-eau-de-parfum-intense-P462417?icid2=products grid:p462417
89,Noir de Noir,Size: 0.33 oz/ 10 mL Eau de Parfum Spray,TOM FORD,65,USD,https://www.sephora.com/product/noir-de-noir-P393163?skuId=2220135&icid2=products grid:p393163
90,Rush,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Gucci,82,USD,https://www.sephora.com/product/rush-P4965?icid2=products grid:p4965
91,Wild Bluebell Cologne,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,142,USD,https://www.sephora.com/product/wild-bluebell-cologne-P417184?icid2=products grid:p417184
92,Flowerbomb Nectar,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Viktor&Rolf,120,USD,https://www.sephora.com/product/flowerbomb-nectar-P429082?icid2=products grid:p429082
93,Viva La Juicy,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Juicy Couture,79,USD,https://www.sephora.com/product/viva-la-juicy-P219412?icid2=products grid:p219412
94,Roses De Chlo�,Size: 2.5 oz/ 75 mL Eau de Toilette Spray,Chlo�,125,USD,https://www.sephora.com/product/roses-de-chloe-P384710?icid2=products grid:p384710
95,My Burberry Blush,Size: 1.6 oz/ 50 mL Eau de Parfum Spray,BURBERRY,99,USD,https://www.sephora.com/product/my-burberry-blush-P421296?icid2=products grid:p421296
96,Romance,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Ralph Lauren,78,USD,https://www.sephora.com/product/romance-P6463?icid2=products grid:p6463
97,Mémoire d'une Odeur Eau de Parfum,Size: 3.3 oz/ 100 mL Eau de Parfum Spray,Gucci,120,USD,https://www.sephora.com/product/memoire-eau-de-parfum-for-her-P448480?icid2=products grid:p448480
98,Clinique Happy,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,CLINIQUE,57,USD,https://www.sephora.com/product/clinique-happy-P122641?icid2=products grid:p122641
99,Good Girl Eau de Parfum Légère,Size: 1.7oz/ 50mL Spray Eau de Parfum,Carolina Herrera,98,USD,https://www.sephora.com/product/legere-P438526?icid2=products grid:p438526
100,Amazing Grace Eau de Toilette,Size: 2 oz/ 60 mL Eau de Toilette Spray,philosophy,52,USD,https://www.sephora.com/product/amazing-grace-eau-de-toilette-P33801?icid2=products grid:p33801
101,"Black Phantom - ""Memento Mori""",Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Kilian,240,USD,https://www.sephora.com/product/black-phantom-memento-mori-P429627?icid2=products grid:p429627
102,Orange Blossom Cologne,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,142,USD,https://www.sephora.com/product/orange-blossom-cologne-P417183?icid2=products grid:p417183
103,Angel Eau de Parfum,Size: 0.8 oz/ 25 mL Eau de Parfum Shooting Star Spray,Mugler,85,USD,https://www.sephora.com/product/angel-P9864?icid2=products grid:p9864
104,Guilty Intense,Size: 1 oz Eau de Parfum Spray,Gucci,78,USD,https://www.sephora.com/product/guilty-intense-P297904?icid2=products grid:p297904
105,Reserve - Skin,Not available,CLEAN RESERVE,98,USD,https://www.sephora.com/product/reserve-skin-P404356?icid2=products grid:p404356
106,White Suede,Size: 0.33 oz/ 10 mL Eau de Parfum Spray,TOM FORD,65,USD,https://www.sephora.com/product/white-suede-P393137?skuId=2220143&icid2=products grid:p393137
107,Vanilla Vibes,Size: 3.4oz/100mL Eau de Parfum Spray,Juliette Has a Gun,135,USD,https://www.sephora.com/product/vanilla-vibes-P445401?skuId=2175982&icid2=products grid:p445401
